Exit Time,Action,Ticker,Amount,Entry Price ($),Exit Price ($),Profit ($),Confidence (%)
2026-03-23 03:42:08.680532,SELL (Square Off),ETH-USD,7.334788,2042.56,2046.19,26.59,37.5%
2026-03-23 03:43:09.451602,SELL (Square Off),BTC-USD,0.763819,67859.54,68004.70,110.87,0.7%
2026-03-23 03:43:09.451841,BUY,ETH-USD,34.217151,2046.92,,0.00,37.4%
2026-03-23 03:44:10.030686,SELL (Square Off),ETH-USD,43.638843,2045.73,2049.96,184.68,18.8%
2026-03-23 03:45:10.704823,BUY,BTC-USD,0.835665,68084.66,,0.00,13.9%
2026-03-23 03:45:10.705065,BUY,ETH-USD,15.884754,2049.89,,0.00,51.7%
2026-03-23 03:46:11.206452,SELL (Square Off),ETH-USD,7.250714,2049.15,2043.52,-40.89,23.9%
2026-03-23 03:47:11.899950,SELL (Square Off),ETH-USD,5.643210,2049.15,2041.11,-45.40,33.8%
2026-03-23 03:48:12.592416,SELL (Square Off),BTC-USD,0.553288,68069.50,67943.66,-69.63,35.8%
2026-03-23 03:48:12.592662,BUY,ETH-USD,31.279368,2043.77,,0.00,19.4%
2026-03-23 03:49:13.493595,SELL (Square Off),ETH-USD,19.299603,2044.68,2042.99,-32.68,22.3%
2026-03-23 03:50:14.026708,SELL (Square Off),ETH-USD,2.139758,2044.68,2042.31,-5.07,28.7%
2026-03-23 03:51:14.626361,BUY,BTC-USD,0.382367,67947.86,,0.00,51.2%
2026-03-23 03:52:15.267019,SELL (Square Off),ETH-USD,16.069998,2044.68,2047.52,45.53,51.7%
2026-03-23 03:53:15.948065,SELL (Square Off),BTC-USD,0.677273,68005.35,68017.15,7.99,25.8%
2026-03-23 03:53:15.948379,BUY,ETH-USD,47.281135,2047.07,,0.00,32.0%
2026-03-23 03:54:16.481830,SELL (Square Off),ETH-USD,46.042620,2047.06,2045.73,-61.13,26.0%
2026-03-23 03:55:17.240194,BUY,BTC-USD,0.822354,67956.85,,0.00,34.5%
2026-03-23 03:56:17.984732,BUY,BTC-USD,0.330912,68048.42,,0.00,25.3%
2026-03-23 03:56:17.985049,BUY,ETH-USD,7.712972,2046.98,,0.00,42.7%
2026-03-23 03:57:18.612218,SELL (Square Off),BTC-USD,0.305361,67984.01,68147.98,50.07,22.9%
2026-03-23 03:57:18.612665,BUY,ETH-USD,10.151091,2050.00,,0.00,39.2%
2026-03-23 03:58:19.167564,SELL (Square Off),BTC-USD,0.411331,67984.01,68169.95,76.48,36.1%
2026-03-23 03:58:19.167827,BUY,ETH-USD,13.675042,2050.48,,0.00,22.9%
2026-03-23 03:59:19.739351,SELL (Square Off),ETH-USD,12.472820,2049.37,2052.30,36.63,2.9%
2026-03-23 04:00:20.270771,SELL (Square Off),BTC-USD,0.469789,67984.01,68181.84,92.94,8.8%
2026-03-23 04:00:20.271037,BUY,ETH-USD,28.087571,2051.76,,0.00,21.9%
2026-03-23 04:01:20.973356,SELL (Square Off),ETH-USD,47.886513,2050.75,2051.62,41.58,42.3%
2026-03-23 04:02:21.702380,BUY,BTC-USD,0.776806,68259.59,,0.00,15.5%
2026-03-23 04:02:21.702817,BUY,ETH-USD,22.000528,2055.43,,0.00,43.6%
2026-03-23 04:03:22.171596,SELL (Square Off),BTC-USD,0.131142,68254.52,68324.04,9.12,17.4%
2026-03-23 04:04:22.694562,SELL (Square Off),BTC-USD,0.317370,68254.52,68252.88,-0.52,11.6%
2026-03-23 04:05:23.329702,SELL (Square Off),ETH-USD,1.080307,2055.28,2060.98,6.15,9.4%
2026-03-23 04:06:23.970107,SELL (Square Off),ETH-USD,3.852422,2055.28,2062.16,26.50,26.3%
2026-03-23 04:07:24.502046,SELL (Square Off),BTC-USD,0.155724,68254.52,68287.79,5.18,4.7%
2026-03-23 04:08:25.001404,SELL (Square Off),BTC-USD,0.022820,68254.52,68214.01,-0.92,25.1%
2026-03-23 04:08:25.001655,BUY,ETH-USD,25.744560,2058.03,,0.00,10.1%
2026-03-23 04:09:25.674807,SELL (Square Off),ETH-USD,33.620417,2056.91,2058.83,64.55,22.8%
2026-03-23 04:10:26.173935,BUY,BTC-USD,0.108103,68221.72,,0.00,42.0%
2026-03-23 04:10:26.174203,BUY,ETH-USD,30.022972,2059.88,,0.00,40.0%
2026-03-23 04:11:26.833293,SELL (Square Off),ETH-USD,13.972425,2059.15,2057.74,-19.65,34.7%
2026-03-23 04:12:27.352923,SELL (Square Off),BTC-USD,0.116764,68241.50,68189.62,-6.06,80.5%
2026-03-23 04:13:27.895901,BUY,BTC-USD,0.218966,68268.55,,0.00,32.3%
2026-03-23 04:14:28.597667,SELL (Square Off),ETH-USD,23.207963,2059.15,2059.09,-1.28,1.0%
2026-03-23 04:15:29.125017,SELL (Square Off),BTC-USD,0.093999,68257.32,68226.38,-2.91,8.8%
2026-03-23 04:16:29.995993,SELL (Square Off),BTC-USD,0.247850,68257.32,68187.49,-17.31,20.9%
2026-03-23 04:17:30.797442,BUY,BTC-USD,0.866028,68185.11,,0.00,19.5%
2026-03-23 04:17:30.797761,BUY,ETH-USD,16.436396,2057.37,,0.00,18.9%
2026-03-23 04:18:31.315645,SELL (Square Off),BTC-USD,0.759275,68187.74,68105.60,-62.37,36.4%
